Gateway,ROOM, ADDRESS,BACnet reading number
3,623D,PEFY-P20VMA-E,111
3,423B,PEFY-P20VMA-E,112
3,622A,PEFY-P20VMA-E,113
3,622B,PEFY-P20VMA-E,114
3,APART 623,PEFY-P20VMA-E,115
3,623C,PEFY-P20VMA-E,116
3,623A,PEFY-P20VMA-E,117
3,621B,PEFY-P20VMA-E,118
3,621A,PEFY-P20VMA-E,119
3,613B,PEFY-P20VMA-E,120
3,613A,PEFY-P20VMA-E,121
3,615,PEFY-P20VMA-E,122
3,617,PEFY-P20VMA-E,123
3,619,PEFY-P20VMA-E,124
3,620,PEFY-P50VMA-E,125
3,APART 611,PEFY-P50VMA-E,126
3,611C,PEFY-P20VMA-E,127
3,611A,PEFY-P20VMA-E,128
3,609,PEFY-P32VMA-E,129
3,605,PEFY-P20VMA-E,130
3,602,PEFY-P20VMA-E,131
3,603,PEFY-P20VMA-E,132
3,604,PEFY-P20VMA-E,133
3,606,PEFY-P20VMA-E,134
3,607,PEFY-P20VMA-E,135
3,608,PEFY-P20VMA-E,136
3,501A,PEFY-P20VMA-E,137
3,501B,PEFY-P20VMA-E,138
3,510A,PEFY-P20VMA-E,139
3,510B,PEFY-P20VMA-E,140
3,511B,PEFY-P20VMA-E,141
3,511D,PEFY-P20VMA-E,142
3,511E,PEFY-P20VMA-E,143
3,511F,PEFY-P20VMA-E,144
3,523F,PEFY-P20VMA-E,145
3,523E,PEFY-P20VMA-E,146
3,523D,PEFY-P20VMA-E,147
3,523B,PEFY-P20VMA-E,148
3,522A,PEFY-P20VMA-E,149
3,522B,PEFY-P20VMA-E,150
4,APART 523,PEFY-P50VMA-E,101
4,523C,PEFY-P20VMA-E,102
4,523A,PEFY-P20VMA-E,103
4,521B,PEFY-P20VMA-E,104
4,521A,PEFY-P20VMA-E,105
4,513B,PEFY-P20VMA-E,106
4,513A,PEFY-P20VMA-E,107
4,515,PEFY-P20VMA-E,108
4,517,PEFY-P20VMA-E,109
4,519,PEFY-P20VMA-E,110
4,520,PEFY-P50VMA-E,111
4,APART 511,PEFY-P50VMA-E,112
4,511C,PEFY-P20VMA-E,113
4,511A,PEFY-P20VMA-E,114
4,509,PEFY-P32VMA-E,115
4,505,PEFY-P20VMA-E,116
4,502,PEFY-P20VMA-E,117
4,503,PEFY-P20VMA-E,118
4,504,PEFY-P20VMA-E,119
4,506,PEFY-P20VMA-E,120
4,507,PEFY-P20VMA-E,121
4,508,PEFY-P20VMA-E,122
4,APART 423,PEFY-P50VMA-E,123
4,423C,PEFY-P20VMA-E,124
4,423A,PEFY-P20VMA-E,125
4,421B,PEFY-P20VMA-E,126
4,421A,PEFY-P20VMA-E,127
4,413B,PEFY-P20VMA-E,128
4,413A,PEFY-P20VMA-E,129
4,415,PEFY-P20VMA-E,130
4,417,PEFY-P20VMA-E,131
4,419,PEFY-P20VMA-E,132
4,420,PEFY-P50VMA-E,133
4,APART 411,PEFY-P50VMA-E,134
4,411C,PEFY-P20VMA-E,135
4,411A,PEFY-P20VMA-E,136
4,409,PEFY-P32VMA-E,137
4,405,PEFY-P20VMA-E,138
4,402,PEFY-P20VMA-E,139
4,403,PEFY-P20VMA-E,140
4,404,PEFY-P20VMA-E,141
4,406,PEFY-P20VMA-E,142
4,407,PEFY-P20VMA-E,143
4,408,PEFY-P20VMA-E,144
5,401A,PEFY-P20VMA-E,101
5,401B,PEFY-P20VMA-E,102
5,410A,PEFY-P20VMA-E,103
5,410B,PEFY-P20VMA-E,104
5,411B,PEFY-P20VMA-E,105
5,411D,PEFY-P20VMA-E,106
5,411E,PEFY-P20VMA-E,107
5,411F,PEFY-P20VMA-E,108
5,423F,PEFY-P20VMA-E,109
5,423E,PEFY-P20VMA-E,110
5,423D,PEFY-P20VMA-E,111
5,423B,PEFY-P20VMA-E,112
5,422A,PEFY-P20VMA-E,113
5,422B,PEFY-P20VMA-E,114
5,301A,PEFY-P20VMA-E,115
5,301B,PEFY-P20VMA-E,116
5,310A,PEFY-P20VMA-E,117
5,310B,PEFY-P20VMA-E,118
5,311B,PEFY-P20VMA-E,119
5,311D,PEFY-P20VMA-E,120
5,311E,PEFY-P20VMA-E,121
5,311F,PEFY-P20VMA-E,122
5,323F,PEFY-P20VMA-E,123
5,323E,PEFY-P20VMA-E,124
5,323D,PEFY-P20VMA-E,125
5,323B,PEFY-P20VMA-E,126
5,322A,PEFY-P20VMA-E,127
5,322B,PEFY-P20VMA-E,128
5,APART 323,PEFY-P50VMA-E,129
5,323C,PEFY-P20VMA-E,130
5,323A,PEFY-P20VMA-E,131
5,321B,PEFY-P20VMA-E,132
5,321A,PEFY-P20VMA-E,133
5,313B,PEFY-P20VMA-E,134
5,313A,PEFY-P20VMA-E,135
5,315,PEFY-P20VMA-E,136
5,317,PEFY-P20VMA-E,137
5,319,PEFY-P20VMA-E,138
5,320,PEFY-P50VMA-E,139
5,APART 311,PEFY-P50VMA-E,140
5,311C,PEFY-P20VMA-E,141
5,311A,PEFY-P20VMA-E,142
5,309,PEFY-P32VMA-E,143
5,305,PEFY-P20VMA-E,144
5,302,PEFY-P20VMA-E,145
5,303,PEFY-P20VMA-E,146
5,304,PEFY-P20VMA-E,147
5,306,PEFY-P20VMA-E,148
5,307,PEFY-P20VMA-E,149
5,308,PEFY-P20VMA-E,150
6,201A,PEFY-P20VMA-E,101
6,201B,PEFY-P20VMA-E,102
6,210A,PEFY-P20VMA-E,103
6,210B,PEFY-P20VMA-E,104
6,211B,PEFY-P20VMA-E,105
6,211D,PEFY-P20VMA-E,106
6,211E,PEFY-P20VMA-E,107
6,211F,PEFY-P20VMA-E,108
6,223F,PEFY-P20VMA-E,109
6,223E,PEFY-P20VMA-E,110
6,223D,PEFY-P20VMA-E,111
6,223B,PEFY-P20VMA-E,112
6,222A,PEFY-P20VMA-E,113
6,222B,PEFY-P20VMA-E,114
6,APART 223,PEFY-P50VMA-E,115
6,223C,PEFY-P20VMA-E,116
6,223A,PEFY-P20VMA-E,117
6,221B,PEFY-P20VMA-E,118
6,221A,PEFY-P20VMA-E,119
6,213B,PEFY-P20VMA-E,120
6,213A,PEFY-P20VMA-E,121
6,215,PEFY-P20VMA-E,122
6,217,PEFY-P20VMA-E,123
6,219,PEFY-P20VMA-E,124
6,220,PEFY-P50VMA-E,125
6,APART 211,PEFY-P50VMA-E,126
6,211C,PEFY-P20VMA-E,127
6,211A,PEFY-P20VMA-E,128
6,209,PEFY-P32VMA-E,129
6,205,PEFY-P20VMA-E,130
6,202,PEFY-P20VMA-E,131
6,203,PEFY-P20VMA-E,132
6,204,PEFY-P20VMA-E,133
6,206,PEFY-P20VMA-E,134
6,207,PEFY-P20VMA-E,135
6,208,PEFY-P20VMA-E,136
6,APART 111,PEFY-P50VMA-E,137
6,111C,PEFY-P20VMA-E,138
6,111A,PEFY-P20VMA-E,139
6,109,PEFY-P32VMA-E,140
6,105,PEFY-P20VMA-E,141
6,102,PEFY-P20VMA-E,142
6,103,PEFY-P20VMA-E,143
6,104,PEFY-P20VMA-E,144
6,106,PEFY-P20VMA-E,145
6,107,PEFY-P20VMA-E,146
6,108,PEFY-P20VMA-E,147
6,deshumectadora,,148
7,SALA JUEGOS,PEFY-P63VMA-E,101
7,SALA JUEGOS,PEFY-P63VMA-E,102
7,SALA ESTUDIO,PEFY-P50VMA-E,103
7,ZONAS COMUNES,PEFY-P50VMA-E,104
7,ZONAS COMUNES,PEFY-P50VMA-E,105
7,ZONAS COMUNES,PEFY-P50VMA-E,106
7,ENTRADA,PEFY-P50VMA-E,107
7,ADMINISTRACION,PEFY-P32VMA-E,108
7,RECEPCION,PEFY-P50VMA-E,109
7,PASILLO,PEFY-P32VMA-E,110
7,RESTAURANTE,PEFY-P50VMA-E,111
7,RESTAURANTE,PEFY-P50VMA-E,112
7,RESTAURANTE,PEFY-P50VMA-E,113
7,RESTAURANTE,PEFY-P50VMA-E,114
7,PASILLO,PEFY-P50VMA-E,115
7,PASILLO,PEFY-P50VMA-E,116
7,11,PEFY-P20VMA-E,117
7,10,PEFY-P20VMA-E,118
7,9,PEFY-P20VMA-E,119
7,8,PEFY-P20VMA-E,120
7,7,PEFY-P20VMA-E,121
7,6,PEFY-P20VMA-E,122
7,5,PEFY-P20VMA-E,123
7,4,PEFY-P20VMA-E,124
7,3,PEFY-P20VMA-E,125
7,2,PEFY-P20VMA-E,126
7,1,PEFY-P20VMA-E,127
7,COCINA,PLFY-P80VEM-E,128
7,COCINA,PLFY-P80VEM-E,129
7,COCINA,PLFY-P80VEM-E,130
7,APART 123,PEFY-P50VMA-E,131
7,123C,PEFY-P20VMA-E,132
7,123A,PEFY-P20VMA-E,133
7,121B,PEFY-P20VMA-E,134
7,121A,PEFY-P20VMA-E,135
7,113B,PEFY-P20VMA-E,136
7,113A,PEFY-P20VMA-E,137
7,115,PEFY-P20VMA-E,138
7,117,PEFY-P20VMA-E,139
7,119,PEFY-P20VMA-E,140
7,120,PEFY-P50VMA-E,141
7,RACK,PKFY-P63VKM-E,142
7,C- ELECTRICO,PKFY-P63VKM-E,143
7,GIMNASIO,PUZ-ZM-100YKA,144
8,112A,PEFY-P20VMA-E,101
8,112B,PEFY-P20VMA-E,102
8,114,PEFY-P20VMA-E,103
8,116,PEFY-P20VMA-E,104
8,118,PEFY-P20VMA-E,105
8,212A,PEFY-P20VMA-E,106
8,212B,PEFY-P20VMA-E,107
8,214,PEFY-P20VMA-E,108
8,216,PEFY-P20VMA-E,109
8,218,PEFY-P20VMA-E,110
8,312A,PEFY-P20VMA-E,111
8,321B,PEFY-P20VMA-E,112
8,314,PEFY-P20VMA-E,113
8,316,PEFY-P20VMA-E,114
8,318,PEFY-P20VMA-E,115
8,412A,PEFY-P20VMA-E,116
8,412B,PEFY-P20VMA-E,117
8,414,PEFY-P20VMA-E,118
8,416,PEFY-P20VMA-E,119
8,418,PEFY-P20VMA-E,120
8,512A,PEFY-P20VMA-E,121
8,512B,PEFY-P20VMA-E,122
8,514,PEFY-P20VMA-E,123
8,516,PEFY-P20VMA-E,124
8,518,PEFY-P20VMA-E,125
8,612A,PEFY-P20VMA-E,126
8,612B,PEFY-P20VMA-E,127
8,614,PEFY-P20VMA-E,128
8,616,PEFY-P20VMA-E,129
8,618,PEFY-P20VMA-E,130
8,101A,PEFY-P20VMA-E,131
8,101B,PEFY-P20VMA-E,132
8,110A,PEFY-P20VMA-E,133
8,110B,PEFY-P20VMA-E,134
8,11B,PEFY-P20VMA-E,135
8,111D,PEFY-P20VMA-E,136
8,111E,PEFY-P20VMA-E,137
8,111F,PEFY-P20VMA-E,138
8,123F,PEFY-P20VMA-E,139
8,123E,PEFY-P20VMA-E,140
8,123D,PEFY-P20VMA-E,141
8,123B,PEFY-P20VMA-E,142
8,122A,PEFY-P20VMA-E,143
8,122B,PEFY-P20VMA-E,144
